canonical_smiles,IC50
CC(C)[C@H](CO)Nc1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1,42.166666666666664
CC(C)c1c2cc(-c3ccnc(N[C@H]4CC[C@H](NC5CCOCC5)CC4)n3)ccc2nn1C,400.0
CC(C)c1cc(-c2cc(N3C[C@H](O)[C@@H](O)C3)ccc2O)nc(N)n1,68.0
CC(C)c1cc(NC(=O)c2ccc(Br)cc2)n[nH]1,199.995
CC(C)c1cc(NCc2ccncc2)n2ncc(Br)c2n1,42.0
CC(C)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,40.0
CC(C)c1ccc2c(c1)NC(=O)/C2=N/Nc1ccc(S(N)(=O)=O)cc1,75.0
CC(C)c1cccc2c1/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,2.5
CC(C)c1cnn2c(NCc3ccc(Cl)cc3)nc(N[C@@H](CO)C(C)C)nc12,60.0
CC(C)c1cnn2c(NCc3ccccc3)cc(NCCCCCCN)nc12,890.0
CC(C)c1cnn2c(NCc3ccccc3)cc(NC[C@H]3CCNC[C@@H]3O)nc12,620.0
CC(C)c1cnn2c(NCc3ccccc3)cc(N[C@@H](CO)[C@@H](O)CO)nc12,3.0
CC(C)c1cnn2c(NCc3ccccc3)cc(N[C@@H](CO)[C@H](O)CO)nc12,3.0
CC(C)c1cnn2c(NCc3ccccc3-n3cccn3)nc(OC3CCCNC3)nc12,6.4
CC(C)c1cnn2c(Nc3ccc(S(=O)(=O)N(C)C)cc3)cc(N[C@H]3CC[C@H](N)CC3)nc12,59.0
CC(C)c1cnn2c(Nc3ccc(S(=O)(=O)N(C)C)cc3)cc(O[C@H]3CC[C@H](N)CC3)nc12,17.0
CC(C)n1cc(-c2ccnc3[nH]c(C4CCN(CC(=O)N(C)C)CC4)cc23)ccc1=O,350.0
CC(C)n1cc(-c2ccnc3[nH]c(C4CCN(CC(=O)N5CCCC5)CC4)cc23)ccc1=O,760.0
CC(C)n1cc(-c2ccnc3[nH]c(C4CCN(CC(=O)N5CCCCC5)CC4)cc23)ccc1=O,720.0
CC(C)n1cnc2c(NC3CCCC3)nc(NCCCO)nc21,900.0
CC(C)n1cnc2c(NCc3ccccc3)nc(NCCCO)nc21,800.0
CC(C)n1cnc2c(NCc3ccccc3)nc(NC[C@@H](C)O)nc21,200.0
CC(C)n1cnc2c(NCc3ccccc3O)nc(NCCCO)nc21,80.0
CC(C)n1cnc2c(NCc3cccnc3)nc(NCC(O)C(F)(F)F)nc21,570.0
CC(C)n1cnc2c(NCc3cccnc3)nc(NC[C@@H](C)O)nc21,290.0
CC(C)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,63.1
CC(CO)Sc1nc(Nc2ccc(S(C)(=N)=O)cc2)ncc1Br,4.0
CC(O)C(C)Sc1nc(Nc2ccc(S(C)(=N)=O)cc2)ncc1Br,8.0
CC(O)CSc1nc(Nc2ccc(S(C)(=N)=O)cc2)ncc1Br,41.0
